eval_loss_0,eval_macro_f1_0,opt_object_0,policy_0,eval_loss_1,eval_macro_f1_1,opt_object_1,policy_1,eval_loss_2,eval_macro_f1_2,opt_object_2,policy_2,eval_loss_3,eval_macro_f1_3,opt_object_3,policy_3,eval_loss_4,eval_macro_f1_4,opt_object_4,policy_4,sparsity,class_imbalance,dataset
0.3852056562900543,61.11111111111112,86.0,"('influential_minority_aug', 'eda', 0.8527535598371818)",0.4077000916004181,57.26495726495726,86.0,"('influential_minority_aug', 'eda', 0.7094689910875469)",0.4472512900829315,64.24923391215526,86.0,"('influential_minority_aug', 'eda', 0.8433051339920086)",0.5529431104660034,45.94594594594594,85.0,"('full_minority', 'eda', 0.43490977341551584)",0.4421413540840149,45.94594594594594,85.0,"('influential_aug', 'eda', 0.9930666241368197)",500,0.85.,wiki
0.3705658912658691,52.02744089182899,86.92543411644536,"('random_aug', 'eda', 0.3711619333479137)",0.3960185647010803,46.47348277747403,86.82328907048009,"('full', 'backtranslation', 0.33417429985981584)",0.4055729210376739,46.47348277747403,86.82328907048009,"('influential_minority_aug', 'backtranslation', 0.6162300155608073)",0.4020689129829407,46.47348277747403,86.82328907048009,"('random_aug', 'eda', 0.822881134101481)",0.4473316669464111,46.47348277747403,86.82328907048009,"('random_forget_majority', 'eda', 0.26597092435760805)",5000,0.85.,wiki
0.2021688520908355,90.79330980512506,95.5,"('influential_minority_aug', 'backtranslation', 0.7093616718969643)",0.2098309844732284,89.90958456697513,95.25,"('random_aug', 'backtranslation', 0.9450682911893717)",0.1914701759815216,89.75064395625142,95.25,"('influential_aug', 'backtranslation', 0.35365585597472127)",0.1814716607332229,90.352269120914,95.25,"('influential_aug', 'backtranslation', 0.18981322860797623)",0.180436685681343,90.19607843137256,95.0,"('forget_majority', 'backtranslation', 0.26811296972704546)",2000,0.85.,amazon
0.2450313866138458,93.54322166896324,94.28950863213812,"('influential_aug', 'backtranslation', 0.9213195108764419)",0.358332097530365,92.9974446475069,93.89110225763612,"('influential_aug', 'backtranslation', 0.6523672819813956)",0.2994883954524994,92.8057276092476,93.75830013280212,"('random_aug', 'backtranslation', 0.8997316782321854)",0.2074697017669677,92.95691681277152,93.75830013280212,"('influential_aug', 'backtranslation', 0.8395936913458057)",0.2445470541715622,92.70878721859114,93.62549800796812,"('influential_majority_forget', 'eda', 0.46859469603054194)",5000,0.75.,amazon
1.04850971698761,62.85686949866054,64.13373860182371,"('full', 'eda', 0.5243102474375423)",0.634857177734375,62.407220701906,63.82978723404256,"('random_aug', 'eda', 0.27246520005391217)",0.7883918285369873,59.22592442096708,62.91793313069909,"('full', 'eda', 0.5159785055386259)",0.8884181976318359,59.872080916257616,62.61398176291794,"('random_aug', 'backtranslation', 0.5775174438882383)",0.8920824527740479,61.80088165607862,62.61398176291794,"('full_minority', 'eda', 0.28326218523850144)",2000,0.50.,wiki
0.6660701036453247,68.28644501278774,69.0,"('random_aug', 'eda', 0.30103487597849543)",0.6384768486022949,65.65656565656566,66.0,"('influential_aug', 'backtranslation', 0.023031169375588578)",1.11938738822937,64.91228070175438,65.0,"('influential_aug', 'eda', 0.819697903552192)",0.669198751449585,63.9423076923077,64.0,"('influential_minority_aug', 'eda', 0.2560423773665619)",0.6599884629249573,63.86993175431554,64.0,"('random_aug', 'backtranslation', 0.21390687490503127)",500,0.50.,wiki
0.5621984601020813,45.94594594594594,85.0,"('random_forget_majority', 'backtranslation', 0.3481906122550982)",0.6140672564506531,45.94594594594594,85.0,"('random_forget', 'backtranslation', 0.05798652498946599)",0.5403294563293457,45.94594594594594,85.0,"('random_aug', 'backtranslation', 0.12222668112216498)",0.4205010235309601,45.94594594594594,85.0,"('full_minority', 'backtranslation', 0.40520365004587955)",0.4635729491710663,45.94594594594594,85.0,"('full', 'backtranslation', 0.018208922481305307)",500,0.85.,amazon
0.2881726622581482,92.999299929993,93.0,"('influential_aug', 'backtranslation', 0.7452728892751269)",0.2439019829034805,92.9936943248924,93.0,"('influential_minority_aug', 'eda', 0.6813180772842611)",0.3511026799678802,92.0,92.0,"('influential_aug', 'backtranslation', 0.17953477040603172)",0.2746157646179199,92.0,92.0,"('influential_aug', 'backtranslation', 0.7013629317097425)",0.3524378538131714,91.9967987194878,92.0,"('influential_aug', 'backtranslation', 0.0014222020121424372)",500,0.50.,amazon
0.5287684202194214,47.6474633421327,85.25,"('influential_majority_forget', 'backtranslation', 0.34373002436056277)",0.4704551994800567,45.94594594594594,85.0,"('random_aug', 'backtranslation', 0.41160955026306323)",0.44266077876091,45.94594594594594,85.0,"('full_minority', 'eda', 0.3488839291127418)",0.4272713959217071,45.94594594594594,85.0,"('random_forget', 'eda', 0.5199988399651219)",0.4860378503799438,47.54786257539994,85.0,"('influential_aug', 'backtranslation', 0.8641427205810911)",2000,0.85.,wiki
0.1790197193622589,94.999499949995,95.0,"('random_forget', 'eda', 0.89262097925028)",0.1797612011432647,94.74970467088774,94.75,"('influential_minority_aug', 'eda', 0.8027813676497249)",0.1788954436779022,94.2496765443056,94.25,"('random_forget', 'backtranslation', 0.6838365030609462)",0.1689816415309906,94.24708758809147,94.25,"('full', 'backtranslation', 0.48030812105532295)",0.2307878136634826,93.999399939994,94.0,"('full_minority', 'backtranslation', 0.4791174356981406)",2000,0.50.,amazon
0.2452075183391571,94.18254179040812,94.18254764292878,"('random_forget', 'backtranslation', 0.8437611646715154)",0.2269323170185089,93.58068410462776,93.58074222668004,"('influential_minority_aug', 'backtranslation', 0.5512673625547769)",0.2580345571041107,93.47876182512154,93.48044132397192,"('random_forget', 'backtranslation', 0.9666083156492479)",0.2854030132293701,93.2788658419403,93.27983951855566,"('random_forget', 'backtranslation', 0.6726872332725828)",0.1942388117313385,93.17870826491516,93.17953861584756,"('random_forget_majority', 'backtranslation', 0.9171489326711895)",5000,0.50.,amazon
0.1746561229228973,92.928757229083,94.75,"('influential_majority_forget', 'eda', 0.37891970400428826)",0.167302519083023,93.02319786709192,94.75,"('random_forget_majority', 'backtranslation', 0.9000979013380507)",0.1692922413349151,92.35874052110069,94.25,"('random_forget_majority', 'backtranslation', 0.907218625038472)",0.1892108023166656,91.89079605352076,94.0,"('full', 'eda', 0.08268269247794735)",0.2265200465917587,91.40295222620551,93.75,"('full', 'backtranslation', 0.9849264473299697)",2000,0.75.,amazon
0.5377494096755981,47.54870477413829,75.5,"('random_forget', 'backtranslation', 0.7793739869793536)",0.5517640709877014,43.90855394552331,75.25,"('random_forget', 'backtranslation', 0.7758242953049238)",0.5438162088394165,44.83988243651712,75.25,"('full', 'backtranslation', 0.0804060502114391)",0.5626171827316284,42.85714285714285,75.0,"('random_forget', 'backtranslation', 0.15105758474666275)",0.5513691306114197,42.85714285714285,75.0,"('influential_minority_aug', 'backtranslation', 0.8704580878408351)",2000,0.75.,wiki
0.4437713623046875,54.244259362444645,83.8452787258248,"('random_forget_majority', 'backtranslation', 0.3788613103736257)",0.4585867524147033,54.99359977243636,83.61774744027304,"('influential_minority_aug', 'backtranslation', 0.014193084137710033)",0.4514881670475006,53.99151701110008,83.50398179749715,"('influential_minority_aug', 'eda', 0.9217131815873865)",0.4464327692985534,54.199408534009294,83.16268486916951,"('random_aug', 'backtranslation', 0.28601566945530077)",0.4387866258621216,57.491918857695545,82.70762229806598,"('influential_minority_aug', 'backtranslation', 0.38534726095763217)",5000,0.75.,wiki
0.3229145109653473,92.46470268802608,94.79326186830016,"('random_forget', 'eda', 0.27986125156926167)",0.4573972225189209,92.02360635598691,94.64012251148544,"('random_forget', 'backtranslation', 0.9379772746675386)",0.3811486959457397,91.779540204074,94.33384379785603,"('random_forget', 'eda', 0.14923080149408577)",0.2853899002075195,92.0499228387445,94.33384379785603,"('full', 'eda', 0.839496685926941)",0.3056902289390564,91.96333721984712,94.18070444104136,"('random_aug', 'eda', 0.32781678067237796)",5000,0.85.,amazon
0.2147151976823806,90.53926206244088,93.0,"('full', 'eda', 0.6650770338179942)",0.2118414342403412,89.33333333333333,92.0,"('full', 'eda', 0.9752123875077938)",0.2406661063432693,89.03508771929825,92.0,"('influential_minority_aug', 'eda', 0.9914766364603962)",0.2253800183534622,88.34498834498834,92.0,"('influential_minority_aug', 'eda', 0.619981979518924)",0.2657712399959564,87.09677419354838,91.0,"('full', 'eda', 0.8916143072093564)",500,0.75.,amazon
